Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1705,50258,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Castro, Manoel Gonçalves"
1705,50259,NS da Luz e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Carvalho, Domingos Gomes de"
1705,50260,NS das Naus e S Tomé,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Mendes, Paulo de Abreu"
1705,50261,S Cristo e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Sebastião<br/> Martins, Antônio Francisco"
1706,50262,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dourado, Domingos Fernandes"
1705,50263,Santíssimo Sacramento e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Estevão da"
1705,50264,Jesus Maria José,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Garcia, Francisco"
1705,50265,NS da Ajuda e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Viana, Domingos da Rocha"
1705,50266,NS do Rosario e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Siqueira, Remísio"
1705,50267,S Francisco Xavier e NS da Ajuda,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Silva, Domingos da"
1705,50268,Bom Jesus de Bouças S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Melo, João Soares"
1705,50269,NS das Brotas e S Gonçalo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Batista, Francisco"
1706,50270,NS da Ajuda e Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Porto, Manoel da Costa"
1706,50271,NS do Rosario S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Mendes, Francisco"
1705,50272,S Francisco das Chagas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Coelho, Domingos de Araújo"
1706,50273,S Antônio dos Coqueiros,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pereira, Constantino de Azevedo"
1705,50274,NS do Rosario e S Francisco do Monte,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Siqueira, Remísio"
1705,50275,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dourado, Domingos Fernandes"
1706,50276,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Cubelos, Antônio de"
1705,50277,NS das Brotas e S Gonçalo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ribeiro, Ambrósio"
1705,50278,Todos os Santos,"Bahia, place unspecified",São Tomé,"Bahia, place unspecified",,,"Ponte, José de Souza"
1706,50279,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Silva, Domingos da"
1706,50280,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pereira, Francisco Álvares"
1706,50281,Todos os Santos,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ponte, José de Souza"
1706,50282,S Antônio e S Luís,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Luís, José<br/> Apolinário, Manoel Luis"
1706,50283,NS do Rosario S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Falcão, Roque"
1706,50284,NS da Piedade e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Meireles, Manoel Rodrigues"
1706,50285,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brochado, João Rodrigues"
1706,50286,NS da Esperança e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dias, Domingos"
1706,50287,Bom Jesus de Bouças e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Andrade, Manoel da Silveira de"
1707,50288,Bom Jesus da Graça e S João Batista,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pinto, Domingos Fernandes"
1706,50289,NS do Pilar e S Félix,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Valentim de"
1707,50290,NS da Conceição e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Afonso, Inácio (a) Fonseca, Remigio da"
1706,50291,S Cruz e NS da Boa Hora,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Manoel Inácio"
1707,50292,Jesus Maria José,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Garcia, Francisco"
1707,50293,NS da Ajuda e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Mendes, Francisco"
1707,50294,Santíssimo Sacramento e NS das Neves,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Carvalho, Antônio Martins de"
1707,50295,NS do Rosario e S Antônio da Barra,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Almeida, Jerônimo de Fonseca"
1707,50296,S Cristo e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brandão, José Marques"
1707,50297,S Antônio dos Coqueiros,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pereira, Constantino de Azevedo<br/> Porto, Manoel da Costa"
1707,50298,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Manoel da"
1707,50299,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Francisco"
1707,50300,NS das Brotas e S Gonçalo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ribeiro, Ambrósio"
1707,50301,NS do Rosario e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lima, José Luís"
1707,50302,S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Colaço, Manoel"
1707,50303,NS do Rosario S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gomes, Domingos"
1707,50304,NS do Pilar e Monserrat,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Sebastião<br/> Brochado, João Rodrigues"
1707,50305,NS do Rosario e S Francisco do Monte,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Mesquita, João Dias de<br/> Dourado, Domingos Fernandes"
1708,50306,S Cristo e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brandão, José Marques"
1707,50307,NS da Conceição e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Castro, José de"
1707,50308,NS de Nazaré e S Antônio das Barreiras,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Francisco de"
1707,50309,S Antônio e S Luís,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Azevedo, Constantino"
1707,50310,NS de Guadalupe Almas e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Furtado, João de Meireles"
1707,50311,Santíssimo Sacramento e NS das Neves,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Martins, Antônio"
1707,50312,NS da Piedade e S Antônio,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Bandeira, Antônio Fernandes<br/> Costa, Estevão da"
1707,50313,NS da Ajuda S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Amorim, Domingos de"
1707,50314,Bom Jesus de Bouças S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Coelho, José Batista"
1707,50315,NS do Monserrat e S Cristóvão,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Leal, Pedro Barbosa<br/> Lima, João da Mota"
1707,50316,NS das Brotas e S Antônio da Barra,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Batista, Manoel Francisco"
1707,50317,S Estevão e NS da Luz,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Cubelos, Antônio de"
1707,50318,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Viana, Domingos da Rocha"
1707,50319,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Francisco"
1707,50320,NS da Ajuda Conceição e Santiago,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Almeida, Jerônimo de"
1707,50321,S Antônio dos Coqueiros,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Porto, Manoel da Costa"
1708,50322,S Antônio e S Luís,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Freitas, Veríssimo de"
1708,50323,S Cristo e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brandão, José Marques"
1708,50324,NS de Nazaré e S Antônio das Barreiras,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Francisco de"
1708,50325,S José de Ribamar,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Sebastião"
1708,50326,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Francisco"
1708,50327,NS do Rosario e S Francisco do Monte,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dourado, Domingos Fernandes"
1708,50328,NS do Monserrat e S Cristóvão,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lima, João da Mota"
1708,50329,NS do Rosario S Antônio e Almas (a) Boa,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Colaço, Manoel"
1708,50330,NS da Piedade e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Coelho, José Pereira"
1708,50331,S Antônio,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Gonçalves, Antônio"
1708,50332,Santíssimo Sacramento e NS da Luz,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Lopes, Manoel Ferreira"
1708,50333,NS da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ferreira, Manoel"
1708,50334,S Cruz,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Figueira, Manoel Dias"
1708,50335,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Viana, Domingos da Rocha"
1708,50336,NS da Ajuda S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Amorim, Domingos de"
1708,50337,NS das Brotas e S Gonçalo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ribeiro, Ambrósio"
1708,50338,NS das Brotas e S Antônio da Barra,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pinto, Pedro Fernandes"
1709,50339,Bom Jesus de Bouças e S João Batista,"Bahia, place unspecified","Whydah, Ouidah","Martinique, place unspecified",,,"Abreu, Manoel Texeira de<br/> Hingrand"
1708,50340,NS de Guadalupe Almas e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Porto, Antônio Manoel da Costa"
1709,50341,NS da Piedade,"Bahia, place unspecified",,,,,"Lara, José Carvalho"
1709,50342,NS do Pilar e Monserrat,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brochado, João Rodrigues"
1709,50343,NS do Rosario e S Francisco do Monte,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dourado, Domingos Fernandes"
1709,50344,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Rocha, Manoel da"
1709,50345,NS do Monserrat e S Cristóvão,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lima, João da Mota"
1709,50346,NS do Cabo e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Matos, João de"
1709,50347,S Cristo e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brandão, José Marques"
1709,50348,NS da Conceição S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Antônio da"
1709,50350,NS do Rosario S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Batista, Francisco"
1709,50351,NS da Conceição e S Antônio do Vale da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Manoel"
1709,50352,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Viana, Domingos da Rocha"
1709,50353,S José de Ribamar,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lima, João de Souza"
1709,50354,NS das Brotas e S Gonçalo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Santos, João dos"
1709,50355,NS de Nazaré e S Antônio das Barreiras,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Francisco de"
1709,50356,S Francisco Xavier,"Bahia, place unspecified","Bight of Benin, place unspecified","Bahia, place unspecified",,,"Brandão, José Rodrigues"
1709,50357,NS da Piedade e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Caldas, Manoel Ferreira"
1709,50358,NS da Ajuda S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Amorim, Domingos de"
1709,50359,S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Escolar, Manoel"
1709,50360,Santissimo Sacramento e NS da Luz,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Lopes, Manoel Ferreira"
1709,50361,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Almeida, Francisco Silva de"
1709,50362,S João Almas NS do Pilar e Monserrat,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brochado, João Rodrigues"
1709,50364,NS do Monserrat e S Cristóvão,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Araújo, Francisco de Freitas"
1709,50365,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Rocha, Manoel da"
1709,50366,NS da Conceição e S Antônio do Vale da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Fialho, João de Matos"
1709,50367,NS do Amparo S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"André, Manoel"
1710,50368,NS da Piedade e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Rêgo, Luís da Silva"
1710,50369,Bom Jesus de Bouças e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Caldas, Domingos Mendes de"
1710,50370,Santíssimo Sacramento e NS das Neves,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Manoel Ferreira"
1710,50371,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Almeida, Francisco Gonçalves de"
1710,50372,S Cristo e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brandão, José Marques"
1710,50373,S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Ávila, Manoel de"
1710,50374,NS da Abadia e Ajuda,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pimentel, Diogo"
1710,50377,S Helena e NS da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Madeira, João Fernandes"
1710,50378,S Isabel Rainha de Portugal e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Ávila, Manoel de"
1710,50379,NS do Rosario S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Barroso, João Antunes"
1710,50380,NS do Pilar e Monserrat,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Paulo"
1710,50381,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Estevão da"
1710,50382,NS da Conceição e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Jacinto da"
1710,50383,NS do Ó e S Antônio,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Lisboa, Domingos Gonçalves"
1710,50384,NS da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Francisco"
1711,50385,S João Batista,"Bahia, place unspecified",,,,,"Lisboa, Manoel dos Santos"
1710,50386,S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Correa, Francisco"
1711,50387,NS da Conceição S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Antunes, José"
1710,50388,NS da Conceição S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ferreira, João Álvares"
1710,50389,Sr Bom Jesus de Bouças NS do Ó e S José,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Martins, Antônio"
1710,50390,NS de Nazaré e S Antônio das Barreiras,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Francisco de"
1710,50392,NS do Amparo S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Freitas, Veríssimo de"
1711,50393,NS das Angústias e S José,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Vieira, Dionísio Fagundes"
1711,50394,NS do Rosario e S Francisco do Monte,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dourado, Domingos Fernandes"
1711,50395,NS do Rosario S José e Santiago,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Visa, João Gomes"
1711,50396,Bom Jesus e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Caldas, Domingos Mendes"
1711,50397,S Isabel Rainha de Portugal e Almas,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Ávila, Manoel de"
1711,50398,NS da Conceição e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Fernandes, Pedro"
1711,50399,S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Rosa, Francisco Correa da"
1711,50400,Santíssimo Sacramento e NS da Luz,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Manoel Ferreira"
1711,50401,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Estevão da"
1711,50403,S João Almas NS do Pilar e Monserrat,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brochado, João Rodrigues"
1711,50404,NS do Rosario S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ribeiro, Gaspar"
1711,50405,NS da Purificacão e S Antônio da Barra,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Antônio"
1711,50406,S João Batista,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lisboa, Manoel dos Santos"
1712,50407,NS da Guia e S Pedro da Guarda,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Mesquita, João Dias de"
1711,50408,S Helena e NS da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Cardoso, João"
1711,50409,NS do Pilar S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Antônio da"
1711,50410,NS de Nazaré e S Antônio das Barreiras,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Francisco de"
1711,50411,NS da Conceição e Almas,"Bahia, place unspecified",Elmina,"Bahia, place unspecified",,,"Ribeiro, Dionísio"
1711,50412,NS da Soledade S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Brandão, José Marques"
1712,50413,NS da Conceição S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Antunes, José"
1711,50414,S Isabel Rainha de Portugal e Almas,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Ávila, Manoel de"
1711,50415,S Antônio e Almas,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Rosa, Francisco Correa da"
1711,50416,Bom Jesus Barrosas e S Gonçalo do Amarante,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Viana, José Rodrigues"
1712,50417,NS da Luz e S Estevão (a) S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Mendes, Francisco Pereira"
1712,50418,S Caetano e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Silva, João da"
1712,50419,NS do Rosario S José e Santiago,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Vieira, João Gomes"
1712,50420,NS da Piedade,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Estevão da"
1712,50421,Santíssimo Sacramento NS da Luz e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Manoel Ferreira"
1712,50422,NS da Conceição S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Ferreira, João Álvares"
1712,50423,NS do Amparo S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Lopes, Domingos"
1712,50424,NS da Esperança e S Antônio,"Bahia, place unspecified",São Tomé,"Bahia, place unspecified",,,"Gonçalves, João"
1712,50425,S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Silva, Pedro da Costa e"
1712,50426,NS do Monte e Nazaré,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lima, Manoel da Costa"
1712,50427,Corpo Santo e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Carvalho, Domingos Gomes de"
1712,50428,NS das Angústias e S José,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Pinto, Pedro Fernandes"
1712,50429,NS Mãe de Deus e S José,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Paulo"
1712,50430,NS do Ó e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Martins, Antônio"
1712,50431,NS da Boa Morte S Boaventura e NS da Conceição,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Feijó, Manoel da Fonseca"
1712,50432,NS da Ajuda e S Francisco Xavier,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Vieira, Dionísio Fagundes"
1712,50433,S Antônio e Almas,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Rosa, Francisco Correa da"
1712,50434,S Isabel Rainha de Portugal e Almas,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Ávila, Manoel de"
1712,50435,NS da Purificacão e S Antônio da Barra,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Gonçalves, Antônio Martins"
1712,50436,NS da Conceição e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Escolar, Manoel"
1712,50437,NS do Pilar S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Valadão, Manoel Coelho"
1712,50438,NS da Guia S Lourenço e Almas,"Bahia, place unspecified",Princes Island,"Bahia, place unspecified",,,"Pimentel, João de Faria"
1712,50439,NS da Piedade e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Silva, Francisco da"
1713,50440,S Caetano e Almas,"Bahia, place unspecified",Princes Island,"Bahia, place unspecified",,,"Silva, João da"
1712,50442,Santíssimo Sacramento NS da Luz e S Antônio,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lopes, Manoel Ferreira"
1713,50443,NS de Nazaré e S Antônio das Barreiras,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Souza, Francisco de"
1713,50444,NS da Guia e S Pedro da Guarda,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Costa, Antônio da"
1712,50445,S Cristo e NS da Ajuda,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Soares, José"
1712,50446,NS da Ajuda Abadia e S Gonçalo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Antunes, José"
1712,50447,NS da Conceição S Antônio e Almas,"Bahia, place unspecified",Calabar,"Bahia, place unspecified",,,"Gomes, Brás"
1713,50448,NS do Rosario S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Lima, João de Souza"
1713,50449,NS do Amparo,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Guimarães, João da Silva (a) Sousa"
1713,50450,S Antônio e Almas,"Bahia, place unspecified",Cape Lahou,"Bahia, place unspecified",,,"Vasconcelos, Francisco Correa"
1713,50451,NS da Soledade S Antônio e Almas,"Bahia, place unspecified","Costa da Mina, place unspecified","Bahia, place unspecified",,,"Dias, Domingos<br/> Brandão, José Marques"
