Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1634,29500,NS del Montserrat,Seville,Luanda,Cartagena,,300,"Francisco, Pedro<br/> Barrasa, Diego"
1634,29501,NS de la Natividad,Lisbon,Luanda,Cartagena,,400,"Figueredo, Antonio Rodriguez de"
1634,29503,NS de la Piedad,Lisbon,Luanda,Cartagena,,400,"Ledesma, Manoel de"
1635,29504,NS de la Concepción,Oporto,Luanda,Cartagena,,350,"Carvallo, Manoel"
1635,29505,NS del Rosario,,Luanda,Cartagena,,280,
1635,29507,NS del Rosario,Seville,Portuguese Guinea,Cartagena,,151,"Rodrigues, Manoel"
1602,29509,S Antônio,,"Senegambia and offshore Atlantic, port unspecified",Veracruz,,,"Acosta, Salvador de"
1621,29510,S Antonio de Padua,Luanda,Luanda,"New Spain, port unspecified",,,"Franco, Gil"
1602,29511,Santana,,"West Central Africa and St. Helena, port unspecified",Veracruz,,,"Sosa, Luís Martinez de"
1622,29512,Angel S Rafael,San Lucar,Cape Verde Islands,Cartagena,,,"Peña, Blas de la"
1602,29513,S Francisco,Cadiz,"Africa, port unspecified",Veracruz,,,"Fernandez, Miguel<br/> Costilla, Francisco Moreno"
1602,29514,NS del Rosario,,"Africa, port unspecified",Veracruz,,,"Gonzalez, Damian"
1647,29515,César,Seville,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Fernandez de Guevara, Pedro"
1621,29516,Cuerpo Santo (a) S Jose,San Lucar,"West Central Africa and St. Helena, port unspecified","New Spain, port unspecified",,,"Meira de Acosta, Manuel de"
1603,29517,S Luis,,Cape Verde Islands,Veracruz,,,"Vicente, Juan"
1603,29518,NS del Rosario,,"Africa, port unspecified",Veracruz,,,"Gómez, Vicente"
